Designator,Footprint,Quantity,Value,LCSC Part #
111,B0505LS1WR3,1,B0505LS-1WR3,
"C1, C4",CAPAE1030X1050N,2,470uF,
"C10, C11, C2, C5, C8, C9",0805,6,0.1uF,
"C3, C6",0805,2,0.01uF,
C7,EEE0GA101SR,1,22uF,
D1,LED_D5.0mm,1,LED,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
IC1,SOIC127P1150X280-8N,1,AMC1301SDWV,
"J1, J2",1050752001,2,Conn_01x01_Male,
J3,BAT_BK-18650-PC4,1,Conn_01x02_Male,
J4,TE_227161-1,1,Conn_Coaxial,
"L1, L2",DR74,2,1mH,
"R1, R2, R3, R4, R5, R6, R7, R8",0805,8,0.25Meg,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20",0805,11,50k,
R21,0805,1,4.7k,
R9,0805,1,1k,
SW1,PinHeader_1x02_P2.54mm_Vertical,1,SW_SPST,
U1,SOT230P700X185-4N,1,AZ1117IH-3.3TRG1,
U2,Converter_DCDC_Murata_NMAxxxxSC_THT,1,5-15v,
"U4, U5",SOIC127P599X175-8N,2,LF353M,
"VR1, VR2",PTV09,2,PTV09A-4225F-B104,
