Designator,Mid X,Mid Y,Rotation,Layer
111,141.40125,-120.785,0.0,top
C1,129.72625,-87.835,90.0,top
C10,169.01625,-103.36,180.0,top
C11,164.01625,-111.61,180.0,top
C2,131.95125,-98.97,0.0,top
C3,131.95125,-96.61,0.0,top
C4,141.01625,-87.835,90.0,top
C5,140.01625,-96.61,180.0,top
C6,140.01625,-98.97,180.0,top
C7,133.51625,-111.11,0.0,top
C8,154.12625,-106.6,270.0,top
C9,145.71625,-104.51,270.0,top
D1,121.41625,-125.0,90.0,top
IC1,136.32625,-103.57,0.0,top
J1,99.15375,-97.52,0.0,top
J2,99.17625,-109.205,0.0,top
J3,163.51625,-106.61,180.0,bottom
J4,184.45625,-107.74,270.0,top
L1,120.02625,-85.846,270.0,top
L2,150.82625,-85.846,270.0,top
R1,115.04375,-96.21,0.0,top
R10,146.51625,-95.61,0.0,top
R11,151.00625,-97.76,0.0,top
R12,146.28625,-100.07,0.0,top
R13,156.26625,-110.11,180.0,top
R14,151.51625,-110.11,180.0,top
R15,151.01625,-100.11,0.0,top
R16,156.52625,-102.8,270.0,top
R17,159.01625,-106.86,90.0,top
R18,170.51625,-106.86,270.0,top
R19,163.26625,-102.86,270.0,top
R2,114.05625,-111.105,0.0,top
R20,159.01625,-102.86,90.0,top
R21,121.48625,-118.39,270.0,top
R3,116.94375,-99.61,0.0,top
R4,116.05625,-107.505,0.0,top
R5,118.94375,-96.21,0.0,top
R6,117.95625,-111.205,0.0,top
R7,120.84375,-99.61,0.0,top
R8,119.85625,-107.605,0.0,top
R9,127.56625,-103.4825,270.0,top
SW1,128.35625,-124.855,90.0,top
U1,133.26625,-119.11,180.0,top
U2,140.68375,-112.7275,90.0,top
U4,149.93625,-105.085,270.0,top
U5,164.20625,-107.6,0.0,top
VR1,160.62625,-99.10475,0.0,top
VR2,177.50625,-99.01475,0.0,top
